,avg_slope,local_height,local_relief,planar_slope,relief,flooded
42,0.171863,4.04,0.29283417334118411,0.016997832560151731,19.32,0.0
43,0.170649,10.74,0.37727815744045046,0.032656804865573659,3.79,0.0
44,0.166771,3.86,0.88030078843170401,0.027374618100082012,4.48,0.0
45,0.169659,5.02,0.18851337104359089,0.028218767780175995,9.21,0.0
46,0.128839,9.25,-0.3065340640686216,0.01498986144971457,10.97,0.0
47,0.0983305,2.73,-0.68454362764316556,0.017021496467276655,3.96,0.0
48,0.0912009,11.95,0.28854848916638787,0.017619353208860305,7.14,0.0
49,0.194069,4.99,1.322852802901636,0.0076418794889484918,5.82,0.0
50,0.174477,4.03,0.12780669970658209,0.025961322550094517,4.64,0.0
51,0.132841,2.59,-0.033186941752980204,0.026017271938923309,4.41,0.0
52,0.127542,2.67,-0.031852593674123852,0.013512788547863985,5.1,0.0
53,0.332054,2.05999,-0.33190644178025508,0.053043124971795398,7.48999,0.0
54,0.120432,3.68,0.28349915620594146,0.021711575545032762,5.98,0.0
55,0.212688,3.22,-0.27847096745950495,0.019567092038453936,6.27,0.0
56,0.137013,2.34,-0.48540870621152976,0.0052149978416364973,4.02999,0.0
57,0.158609,1.49,-0.74735436877759298,0.03377801638234508,3.99,0.0
58,0.178711,8.22,1.2576752772983184,0.034228045198207643,8.08,0.0
59,0.174575,2.66,0.06085100771359464,0.033507408845865887,3.5,0.0
60,0.163428,2.67,0.054160946772022101,0.02614882055636986,4.42,0.0
61,0.187365,3.97,1.0921618283258283,0.026642765264888943,4.35,0.0
62,0.12016,17.85,-0.40615451512150003,0.035263200589532702,6.3,0.0
63,0.151309,18.09,-0.37162894720057693,0.0096364745788479009,8.41,0.0
64,0.14603,3.91,0.41730353621843363,0.009745067627694318,5.34,0.0
65,0.198893,3.94,-0.069257166123648517,0.01666019173191104,5.41,0.0
66,0.186612,5.95,-0.27361758964269711,0.00098683765966287138,6.34,0.0
67,0.15126,2.94,-0.094141862029403001,0.034990599121502923,4.72001,0.0
68,0.141064,2.62001,0.10022759608353482,0.02415433653084758,3.79,0.0
69,0.113762,3.46001,0.10605677677498448,0.010701237712152877,4.36,0.0
70,0.0858616,6.62,0.55224325525708196,0.019083235150339106,9.43999,0.0
71,0.221866,2.71,-2.3265354942574135,0.15279256137684488,8.74,0.0
72,0.148719,3.42,0.070958066433600919,0.014424140535344788,4.77,0.0
73,0.223361,4.59001,0.15790260871942507,0.0075193632601856068,4.77,0.0
74,0.114947,3.52,0.31934285174781962,0.024473192492446505,5.14999,0.0
75,0.132928,3.21,-0.17064830417804444,0.0081552960200517687,4.43,0.0
76,0.196875,4.33,0.58289067495561397,0.035730793792209434,6.09,0.0
77,0.215588,1.79,-1.1894143483493735,0.0077204235985457179,5.97,0.0
78,0.141166,2.29,-0.2452316702802193,0.024627191044462534,5.1,0.0
79,0.151963,8.40999,0.53969553741190168,0.020847891917480797,4.74999,0.0
80,0.170346,4.22,0.20469555290092956,0.017229215309159152,8.23,0.0
81,0.255265,2.26,0.13778222957193265,0.0028633439874410139,3.51999,0.0
82,0.164359,8.72,0.98743991127938813,0.0075754911039182934,4.98,0.0
83,0.107716,3.11,-0.22751707435472213,0.018551416058497392,2.91,0.0
84,0.232753,4.9,0.3115699947143824,0.070611792798934397,7.06,0.0
85,0.1386,2.57,-0.028615989621101789,0.014400514488941012,4.54,0.0
86,0.216695,3.39,0.37342150431910426,0.009946879378591008,5.18,0.0
87,0.145457,2.48999,-0.7510559112265156,0.01610885692279701,4.31,0.0
88,0.253149,2.22,-1.5233084933457235,0.010146258023215211,7.65001,0.0
89,0.239241,15.62,-0.029030868327936332,0.035267492064144736,6.85,0.0
90,0.165895,2.95999,-0.35341713010964781,0.0096079073128433473,5.73001,0.0
91,0.159384,4.12,0.96571063690115722,0.02984236147966219,5.98001,0.0
92,0.206177,10.72,0.14585276032308059,0.028885144223593093,7.41999,0.0
93,0.189339,1.77001,-1.0542901958784796,0.01241892631841489,4.17001,0.0
94,0.141383,2.0,-0.17252499859901604,0.001062628096047228,3.78999,0.0
95,0.273974,4.68,0.84117047740562612,0.040991728890134173,7.23999,0.0
96,0.102142,4.05,1.0060312462696146,0.026527473504586483,4.73,0.0
97,0.211677,2.38,-0.73856577257652134,0.022965764169572772,5.27,0.0
98,0.167874,2.96999,-0.019893277038470103,0.011357134101451651,4.48,0.0
99,0.200987,4.38,0.64960729572544551,0.023434171165583082,5.47001,0.0
100,0.157935,3.38,-0.19348945088583491,0.011733924290082088,5.17001,0.0
101,0.14901,5.04,1.3179270693885528,0.020430490757746254,5.49,0.0
102,0.160836,4.28,-1.52770705616269,0.019533613096474337,10.86,0.0
103,0.157355,4.09,0.51734220914371321,0.046547438397776364,4.75999,0.0
104,0.147943,3.21,-0.2836921190710413,0.0073352186093357729,4.9,0.0
105,0.17874,3.77,0.037701262985855521,0.0089163396117727684,4.57,0.0
106,0.178241,3.21,0.11548246753741154,0.014057760452072373,5.36,0.0
107,0.253587,2.83,-0.69219075025463184,0.0045070729030955228,5.43,0.0
